Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
c89365e1-151d-3565-aa55-26da47b06b0f,b5301f90-f8e2-3e20-a9e7-aabde8c4abdb,Oralia Kerluke,F,GENERAL PRACTICE,126 HOSPITAL AVE,OZARK,AL,36360,31.512,-85.632747,9
c26c0f4e-0424-389f-8a13-4ce686b982fc,383f1c8e-332f-38e0-882e-04933091d01e,Ronny Doyle,M,GENERAL PRACTICE,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,33.527444,-86.799047,668
99bf82d8-f28a-3f41-a7aa-27db9fdd7e09,003d226c-d9dd-35d7-9726-44f7efa5f60c,Suzette Ledner,F,GENERAL PRACTICE,1530 U S HIGHWAY 43,WINFIELD,AL,35594,33.957759,-87.751828,29
433b0ff5-3454-3302-8b63-d41a47da6cfd,4a4ae4ad-87be-35dd-bed8-b6285e504c3f,Carlita Rogahn,F,GENERAL PRACTICE,3400 HIGHWAY 78 EAST,JASPER,AL,35502,33.854951,-87.27074,9
7a0aad29-5cda-35bd-9f8d-d207eceba5eb,c193f06f-79f8-31e0-99f4-f8e6a41f2383,Alease Russel,F,GENERAL PRACTICE,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,30.668426,-88.100226,44
3c665bdd-dc1d-399b-b65c-bc85d35f75e8,9e230a96-ca7a-3ee9-97a9-eef7fe67f358,Edmond Howell,M,GENERAL PRACTICE,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,33.233083,-87.525798,138
763f7cc8-0f32-3e70-a814-2549091fe36b,c636f6d5-c2c4-3485-8249-1161d54bbe04,Gema Haley,F,GENERAL PRACTICE,750 MORPHY AVENUE,FAIRHOPE,AL,36532,30.521914,-87.882336,7
a14e85de-4912-3bcb-9b4a-91e8997d9ce3,6a3b4f09-1719-35fc-8ba7-ef8a1729e040,Fredia Rempel,F,GENERAL PRACTICE,995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,33.370824,-86.97150400000002,288
8ae5b708-ba2e-31b9-8884-000edbf09beb,6ceeb0d0-838f-3c89-a042-91e50e6c6158,Neda Schulist,F,GENERAL PRACTICE,3719 DAUPHIN STREET,MOBILE,AL,36608,30.668426,-88.100226,35
84a85349-16ec-3162-b1d5-50fe2246cd97,7f080566-92a1-354a-b13e-a74ef5fdd8de,Lacey Will,F,GENERAL PRACTICE,400 TAYLOR ROAD,MONTGOMERY,AL,36117,32.346251,-86.26859300000002,151
540c18dd-ce08-3186-9b2b-3a0ef1c06d9b,7ff47de0-ad19-3a53-bd2e-2aded55b15c3,Jesse Zieme,M,GENERAL PRACTICE,301 Andrews Avenue,Fort Rucker,AL,36362,31.3497,-85.6846,2
c1ce3140-a4d5-3ab3-a68a-32a78545b906,62157fd6-92f1-3f9a-a11b-21eb03357e84,Evelia Durgan,F,GENERAL PRACTICE,8335 GAYFER RD EXT,FAIRHOE,AL,36532-3051,30.494695,-87.909966,22
a62bf7bc-4d9a-374d-b110-706f7a68b18f,d1672106-a278-311f-8bff-d429fc71e63d,Elmer Oberbrunner,F,GENERAL PRACTICE,1110 N CHALKVILLE RD,TRUSSVILLE,AL,35173-1083,33.61123,-86.571671,49
